loss,learning_rate
1.1201230088869731,4.000001142473995e-05
1.1048700312773387,4.0000045698959045e-05
1.1018434514602025,4.0000102822655985e-05
1.1002002532283466,4.000018279582773e-05
1.098969466984272,4.0000285618470494e-05
1.0979178249835968,4.000041129057961e-05
1.0969754432638485,4.000055981214911e-05
1.096113182604313,4.000073118317162e-05
1.0953187222282093,4.000092540363913e-05
1.094585803647836,4.0001142473542416e-05
1.0939107437928517,4.000138239287107e-05
1.0932813410957654,4.000164516161392e-05
1.0926922857761383,4.0001930779758185e-05
1.0921388814846675,4.000223924729041e-05
1.0916166106859844,4.000257056419585e-05
1.0911245147387187,4.0002924730458684e-05
1.090655912955602,4.00033017460621e-05
1.0902083615461986,4.000370161098832e-05
1.089779665072759,4.000412432521793e-05
1.089365541934967,4.00045698887311e-05
1.088964248696963,4.000503830150668e-05
1.0885757729411125,4.0005529563522124e-05
1.0881979390978813,4.0006043674754225e-05
1.0878279035290082,4.0006580635178375e-05
1.0874630336960156,4.00071404447692e-05
1.0871043776472409,4.000772310349982e-05
1.0867504328489304,4.0008328611342795e-05
1.086402341723442,4.0008956968268965e-05
1.0860598236322403,4.0009608174248514e-05
1.0857194811105728,4.001028222925065e-05
1.0853813588619232,4.001097913324306e-05
1.08504585425059,4.0011698886192795e-05
1.084711695710818,4.001244148806526e-05
1.0843785554170609,4.0013206938825435e-05
1.0840469300746918,4.001399523843668e-05
1.0837168047825496,4.001480638686158e-05
1.0833853483200073,4.001564038406133e-05
1.083055893580119,4.0016497229996575e-05
1.082728202144305,4.0017376924626215e-05
1.0823998202880223,4.0018279467908514e-05
1.082073797782262,4.001920485980032e-05
1.08174925049146,4.002015310025804e-05
1.081424281001091,4.0021124189236045e-05
1.0811002850532532,4.0022118126688245e-05
1.0807737509409587,4.002313491256748e-05
1.0804451058308284,4.0024174546825176e-05
1.080114449063937,4.0025237029412005e-05
1.0797855854034424,4.0026322360277116e-05
1.079456662138303,4.0027430539369226e-05
1.0791282405455906,4.002856156663532e-05
1.0788034747044246,4.002971544202162e-05
1.0784809440374374,4.003089216547315e-05
1.0781567643086116,4.003209173693398e-05
1.0778289784987767,4.003331415634685e-05
1.0775034030278523,4.0034559423653767e-05
1.0771841903527577,4.003582753879531e-05
1.076869900027911,4.003711850171141e-05
1.0765543431043625,4.003843231234017e-05
1.0762431174516678,4.003976897061924e-05
1.0759354780117671,4.0041128476485085e-05
1.0756271580855052,4.0042510829872875e-05
1.075320988893509,4.0043916030716906e-05
1.0750137368837993,4.0045344078950174e-05
1.0747067580620449,4.00467949745047e-05
1.074402352174123,4.0048268717311525e-05
1.0740980406602223,4.00497653073004e-05
1.0737927556037903,4.005128474440019e-05
1.073484554886818,4.005282702853848e-05
1.0731767515341442,4.0054392159641653e-05
1.072868213057518,4.0055980137635545e-05
1.0725572009881337,4.005759096244459e-05
1.0722433825333912,4.0059224633991804e-05
1.071928548316161,4.0060881152199565e-05
1.071611280242602,4.006256051698905e-05
1.071290485560894,4.006426272828024e-05
1.0709675028920174,4.006598778599215e-05
1.0706419075528781,4.006773569004271e-05
1.070312924683094,4.006950644034864e-05
1.0699829161167145,4.007130003682571e-05
1.0696496615807216,4.007311647938837e-05
1.0693128580848377,4.007495576795043e-05
1.0689747432867687,4.0076817902424174e-05
1.0686325927575429,4.007870288272081e-05
1.0682872186104457,4.0080610708750886e-05
1.0679388642311096,4.008254138042355e-05
1.0675864020983379,4.008449489764675e-05
1.0672323008378346,4.008647126032747e-05
1.0668752491474152,4.008847046837181e-05
1.0665149490038555,4.0090492521684465e-05
1.0661510179440181,4.0092537420169275e-05
1.0657830958565075,4.009460516372866e-05
1.0654125288128853,4.0096695752264494e-05
1.0650404517849286,4.0098809185677145e-05
1.0646636461218197,4.0100945463866e-05
1.0642831871906917,4.010310458672935e-05
1.0638972073793411,4.010528655416432e-05
1.0635082324345906,4.0107491366067356e-05
1.063114772240321,4.010971902233319e-05
1.0627176066239674,4.011196952285589e-05
1.0623153919974964,4.011424286752823e-05
1.0619090845187504,4.011653905624222e-05
1.0614963645736377,4.011885808888837e-05
1.0610805824398994,4.012119996535629e-05
1.0606605485081673,4.012356468553464e-05
1.0602346460024517,4.012595224931056e-05
1.0598052218556404,4.012836265657074e-05
1.0593705823024113,4.0130795907200264e-05
1.0589312116305034,4.0133252001083334e-05
1.0584880684812863,4.0135730938102967e-05
